state;year;P/pack;pop;pop16+;CPI;ndi/capita;C/capita;Pn/pack;ln C_it;ln P_it;ln Pn_it;ln Y_it
1;63;28.6;3383;2236.5;30.6;1558.30453;93.9;26.1;4.956081132;-0.067593291;-0.159064695;3.93035366
1;64;29.8;3431;2276.7;31;1684.073203;95.4;27.5;4.968203316;-0.039478811;-0.1198012;3.994983459
1;65;29.8;3486;2327.5;31.5;1809.841875;98.5;28.9;4.994016765;-0.055479152;-0.086145951;4.051007213
1;66;31.5;3524;2369.7;32.4;1915.160357;96.4;29.5;4.965339545;-0.028170877;-0.093768159;4.079398213
1;67;31.6;3533;2393.7;33.4;2023.546368;95.5;29.6;4.94843333;-0.055398779;-0.120781539;4.104050979
1;68;35.6;3522;2405.2;34.8;2202.485536;88.4;32;4.86326792;0.022728251;-0.083881484;4.147724404
1;69;36.6;3531;2411.9;36.7;2377.334667;90.1;32.8;4.882086463;-0.002728515;-0.11234824;4.170958496
1;70;39.6;3444;2394.6;38.8;2591.039159;89.8;34.3;4.86100236;0.020408872;-0.123274892;4.201394047
1;71;42.7;3481;2443.5;40.5;2785.315971;95.4;35.8;4.91196675;0.052896946;-0.123354081;4.230814626
1;72;42.3;3511;2484.7;41.8;3034.808297;101.1;37.4;4.961859095;0.011890747;-0.111225635;4.285007198
1;73;42.1;3540;2526;44.4;3387.574086;102.9;37.3;4.971247346;-0.053191729;-0.174246143;4.334629866
1;74;43.1;3574;2573.9;49.3;3718.867175;108.2;41.4;5.012244525;-0.134401084;-0.1746432;4.323250297
1;75;46.6;3614;2623.7;53.8;4087.993117;111.7;43;5.036046363;-0.143672926;-0.224073351;4.330535981
1;76;50.4;3657;2677.4;56.9;4486.771835;116.2;46.4;5.067109809;-0.121304166;-0.203995882;4.367593413
1;77;50.1;3690;2719.6;60.6;4899.865687;117.1;48.8;5.068169918;-0.190273885;-0.21656458;4.39266818
1;78;55.1;3728;2764.6;65.2;5450.998326;123;53.6;5.111160293;-0.168309753;-0.195910401;4.426094581
1;79;56.8;3769;2810.7;72.6;5957.140545;121.4;56.5;5.09246703;-0.245428596;-0.250724284;4.407380949
1;80;60.6;3894;2898.9;82.4;6466.350293;123.2;59.3;5.108914603;-0.307290544;-0.328976131;4.362781695
1;81;68.8;3917;2924.7;90.9;7042.023161;119.6;62.6;5.076286985;-0.278556256;-0.372994723;4.349890787
